States/UT,Total No. of Road Accidents 2006,Total No. of Road Accidents 2007,Total No. of Road Accidents 2008,Total No. of Road Accidents 2009,Total No. of Road Accidents 2010,Total No. of Road Accidents 2011,Total No. of Road Accidents 2012,Total No. of Road Accidents 2013,Total No. of Road Accidents 2014,Total 2006-14
Andhra Pradesh,1005,632,715,637,722,866,504,553,67,5701
Arunachal Pradesh,34,54,67,50,59,43,24,18,17,366
Assam,0,0,0,0,0,0,0,0,0,0
Bihar,217,354,521,348,423,447,368,398,541,3617
Chhattisgarh,829,696,706,863,795,701,682,545,672,6489
Goa,99,113,84,102,62,16,6,17,17,516
Gujarat,117,150,118,114,133,0,69,122,161,984
Haryana,98,216,189,211,163,163,146,165,165,1516
Himachal Pradesh,84,113,43,39,26,9,15,38,74,441
Jammu & Kashmir,286,3,11,2,137,174,69,56,341,1079
Jharkhand,285,40,377,160,172,131,266,217,285,1933
Karnataka,723,238,396,353,503,553,477,1777,626,5646
Kerala,333,366,317,289,0,0,0,0,0,1305
Madhya Pradesh,919,888,625,884,1435,1366,1112,1569,1664,10462
Maharashtra,676,1035,895,835,638,460,442,369,497,5847
Manipur,187,236,126,161,102,90,211,159,132,1404
Meghalaya,20,12,12,90,64,61,117,87,75,538
Mizoram,28,1,11,9,12,2,0,1,0,64
Nagaland,29,32,24,10,21,21,6,8,21,172
Odisha,281,442,589,669,105,81,33,28,28,2256
Punjab,41,57,64,72,123,131,163,131,169,951
Rajasthan,9,86,14,51,61,16,28,72,74,411
Sikkim,63,52,60,190,0,114,0,0,0,479
Tamil Nadu,469,376,486,621,440,134,107,206,519,3358
Telangana,NA,NA,NA,NA,NA,NA,NA,NA,348,348
Tripura,35,108,34,10,4,113,20,23,20,367
Uttarakhand,36,40,43,65,86,49,21,26,35,401
Uttar Pradesh,1243,1125,1103,1366,1337,1444,1482,1824,2059,12983
West Bengal,1138,1099,832,525,1007,783,669,1027,589,7669
Andaman and Nicobar Island,0,0,1,0,0,0,0,0,0,1
Chandigarh,0,0,0,0,0,0,0,0,0,0
Dadra and Nagar Haveli,0,0,0,0,0,0,0,0,0,0
Daman and Diu,0,0,0,0,0,0,0,0,0,0
Delhi,0,0,0,0,0,NA,0,NA,NA,0
Lakshadweep,0,0,0,0,0,0,0,0,0,0
Puducherry,0,0,0,0,0,0,0,0,0,0
All India,9284,8564,8463,8726,8630,7968,7037,9436,9196,77304
